What's the value of the following determinant $\begin{vmatrix} a & b + c & a^{2} \\ b & c + a & b^{2} \\ c & a + b & c^{2} \end{vmatrix}$|the answer is -(a + b - c)(a - b)(b - c)(c - a)|medium|-(a + b - c)(a - b)(b - c)(c - a)|(a + b - c)(a - b)(b - c)(c - a)|(a - b)(b - c)(c - a)|none of these|-(a + b - c)(a - b)(b - c)(c - a)
What's the value of the following determinant $\begin{vmatrix} \sqrt{13} + \sqrt{3} & 2\cdot \sqrt{5} & \sqrt{5} \\ \sqrt{15} + \sqrt{26} & 5 & \sqrt{10} \\ 3 + \sqrt{65} & \sqrt{15} & 5 \end{vmatrix}$|the answer is $15\sqrt{2} - 25\sqrt{3}$|medium|$15\sqrt{2} - 25\sqrt{3}$|$15\sqrt{2} + 25\sqrt{3}$|$15\sqrt{3} - 25\sqrt{2}$|$15\sqrt{3} + 25\sqrt{2}$|$15\sqrt{2} - 25\sqrt{3}$
What's the value of the following determinant $\begin{vmatrix} x & x(x^{2} + 1) & x + 1 \\ y & y(y^{2} + 1) & y + 1 \\ z & z(z^{2} + 1) & z + 1 \end{vmatrix}$|the answer is (x + y + z)(x - y)(y - z)(z - x)|medium|(x + y + z)(x - y)(y - z)(z - x)|(x + y + z)(x + y)(y + z)(z + x)|-(x + y + z)(x - y)(y - z)(z - x)|none of these|(x + y + z)(x - y)(y - z)(z - x)
If x, y and z are respectively l th 2m th and 3 nth term of an H.P, then what's value of the following determinant|the answer is 0|medium|0|1|-1|3|0
The determinant $\begin{vmatrix} 1 & a^{2} & a^{3} \\ 1 & b^{2} & b^{3} \\ 1 & c^{2} & c^{3} \end{vmatrix}$ is euivalent to|the answer is $(ab + bc + ca)\cdot \begin{vmatrix} 1 & a & a^{2} \\ 1 & b & b^{2} \\ 1 & c & c^{2} \end{vmatrix}$|medium|$(ab + bc + ca)\cdot \begin{vmatrix} 1 & a & a^{2} \\ 1 & b & b^{2} \\ 1 & c & c^{2} \end{vmatrix}$|$-(ab + bc + ca)\cdot \begin{vmatrix} 1 & a & a^{2} \\ 1 & b & b^{2} \\ 1 & c & c^{2} \end{vmatrix}$|$abc\cdot \begin{vmatrix} 1 & a & a^{2} \\ 1 & b & b^{2} \\ 1 & c & c^{2} \end{vmatrix}$|nomne of these|$(ab + bc + ca)\cdot \begin{vmatrix} 1 & a & a^{2} \\ 1 & b & b^{2} \\ 1 & c & c^{2} \end{vmatrix}$
Find value of the following determinant $\begin{vmatrix} x! & (x + 1)! & (x + 2)! \\ (x + 1)! & (x + 2)! & (x + 3)! \\ (x + 2)! & (x + 3)! & (x + 4)! \end{vmatrix}$|the answer is $2\cdot x!\cdot (x + 1)!\cdot (x + 2)!$|medium|$2\cdot x!\cdot (x + 1)!\cdot (x + 2)!$|$x!\cdot (x + 1)!\cdot (x + 2)!$|$2\cdot x!\cdot (x + 3)!\cdot (x + 2)!$|none of these|$2\cdot x!\cdot (x + 1)!\cdot (x + 2)!$
Find the value of the following determinant $\begin{vmatrix} (b + c)^{2} & a^{2} & b\cdot c \\ (c + a)^{2} & b^{2} & c\cdot a \\ (a + b)^{2} & c^{2} & a\cdot b \end{vmatrix}$|the answer is $(a^{2} + b^{2} + c^{2})(a + b + c)(a - b)(b - c)(c - a)$|medium|$(a^{2} + b^{2} + c^{2})(a + b + c)(a - b)(b - c)(c - a)$|$(a + b + c)(a - b)(b - c)(c - a)$|$(a - b)(b - c)(c - a)$|none of these|$(a^{2} + b^{2} + c^{2})(a + b + c)(a - b)(b - c)(c - a)$
Find the value of the following determinant $\begin{vmatrix} x^{2} & x^{2} - (y - z)^{2} & y\cdot z \\ y^{2} & - (z - x)^{2} & z\cot x \\ z^{2} & z^{2} - (x - y)^{2} & a\cdot b \end{vmatrix}$|the answer is $(x^{2} + y^{2} + z^{2})(x + y + z)(x - y)(y - z)(z - x)$|medium|$(x^{2} + y^{2} + z^{2})(x + y + z)(x - y)(y - z)(z - x)$|$(x + y + z)(x - y)(y - z)(z - x)$|$(x - y)(y - z)(z - x)$|none of these|$(x^{2} + y^{2} + z^{2})(x + y + z)(x - y)(y - z)(z - x)$
If $a_{1}b_{1}c_{1}$, $a_{2}b_{2}c_{2}$ and $a_{3}b_{3}c_{3}$ are 3 three digit numbers, each of which is divisible by k then the determinant $\begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$ is divisible by|the answer is k|medium|k|$k^{2}$|$k^{3}$|none of these|k
If $a_{i}, b_{i}, c_{i}\in \mathbb{R} (i= 1, 2, 3)$ and $x\in \mathbb{R}$ then $\begin{vmatrix} a_{1} + b{1}x & a_{1}x + b_{1} & c_{1} \\ a_{2} + b_{2}x & a_{2}x + b_{2} & c_{2} \\ a_{3} + b_{3}x & a_{3}x + b_{3} & c_{3} \end{vmatrix}$|the answer is $(1 - x^{2})\cdot \begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$|medium|$\begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$|$(1 - x^{2})\cdot \begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$|$(1 + x)\cdot \begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$|$(1 - x)\cdot \begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$|$(1 - x^{2})\cdot \begin{vmatrix} a_{1} & b_{1} & c_{1} \\ a_{2} & b_{2} & c_{2} \\ a_{3} & b_{3} & c_{3} \end{vmatrix}$
